transect,plot,EVI,TCW,TCG,TCB,DTM.sd,DTM.cv,DTM.range,Slope.sd,Slope.mean,tree_stem_count,cluster_names
J1,1,4040,-1456,1459,3037,0.373552709,0.004400408,1.856643677,1.44722997,2.512661183,1,Moist Tundra
J1,2,4149,-1589,1544,3294,0.197513239,0.002350042,0.944633484,0.927962776,1.584943437,4,Moist Tundra
J1,3,4264,-1447,1624,3216,0.362005445,0.004279489,1.653289795,0.978311019,2.0025577,6,Moist Tundra
J1,4,4693,-1272,1830,3208,0.443649309,0.00516176,2.026741028,1.257673006,2.574944655,5,Moist Tundra
J1,5,3990,-1638,1474,3294,0.295548778,0.003508101,1.490486145,1.091564932,1.962387825,0,Moist Tundra
J2,1,4870,-1117,1872,3003,0.797795409,0.011667699,3.739501953,2.19197975,4.194199629,5,Submesic Woodland
J2,2,3936,-1528,1446,3101,0.699616333,0.010616439,3.141792297,1.658342229,3.245034867,1,Submesic Woodland
J2,3,4139,-1490,1518,3130,0.596808482,0.00923785,2.803874969,1.59363051,3.197074638,6,Submesic Woodland
J2,4,3572,-1641,1233,2927,0.78155581,0.01204002,3.440700531,1.419783592,3.566343688,20,Submesic Woodland
J2,5,3165,-1480,1038,2793,1.26608415,0.018587312,5.199943542,1.467067502,5.152950151,23,Submesic Woodland
T1,1,4377,-1202,1729,3251,0.450277598,0.004292291,1.82925415,0.948202549,2.067258024,0,Moist Tundra
T1,2,4525,-1158,1798,3230,0.598604325,0.005704916,2.289588928,1.297503707,2.629278513,0,Moist Tundra
T1,3,4661,-1111,1853,3157,0.559714641,0.005419736,2.405929565,1.410777733,2.721591682,10,Moist Tundra
T1,4,4472,-1198,1763,3208,0.509573726,0.004991195,2.058166504,1.356373974,2.558916283,4,Moist Tundra
T1,5,4131,-1258,1625,3133,0.310105006,0.003054385,1.432029724,1.1917677,2.105275666,0,Moist Tundra
T2,1,3696,-1670,1285,3052,0.436413399,0.006056996,1.846092224,0.94556217,2.097997121,0,Mesic Woodland
T2,2,3950,-1555,1422,3208,0.428488626,0.00598045,1.800567627,0.859379028,1.980913184,0,Mesic Woodland
T2,3,3840,-1643,1347,3178,0.430900522,0.00604369,1.873939514,0.905795379,2.085755636,19,Mesic Woodland
T2,4,3961,-1531,1464,3055,0.542585297,0.007632561,2.168563843,1.117068578,2.405514425,26,Mesic Woodland
T2,5,3875,-1419,1413,3004,0.639028878,0.008965148,2.58833313,1.154566996,2.662486705,10,Mesic Woodland
T3,1,3005,-1321,1084,2590,1.930360867,0.019194051,8.18094635,3.494598397,7.515530818,0,Submesic Woodland
T3,2,3672,-1350,1293,2605,2.064300722,0.019997249,8.758583069,3.368134984,8.094629484,3,Submesic Woodland
T3,3,3794,-1458,1350,2865,1.382165521,0.013053872,6.594314575,3.329123729,5.81620668,61,Submesic Woodland
T3,4,4063,-1401,1467,2952,0.706517481,0.00673464,3.434494019,1.950650125,3.487154387,120,Submesic Woodland
T3,5,4538,-1110,1696,2829,0.89138522,0.008568171,3.937820435,1.906200231,4.23213752,99,Submesic Woodland
T4,1,3550,-1490,1248,2788,0.740975818,0.008667523,3.12638092,2.070973341,3.452059906,0,Submesic Woodland
T4,2,3863,-1314,1446,2796,1.022883977,0.012290952,4.366256714,1.743266348,4.271301574,6,Submesic Woodland
T4,3,3957,-1356,1438,2778,0.699098256,0.008671268,3.069221497,1.783550935,3.237944288,52,Submesic Woodland
T4,4,3882,-1369,1358,2769,0.303059929,0.00379851,1.429031372,0.959464815,1.851766042,94,Submesic Woodland
