transect,plot,sample,mean_height,max_height,sd_height,litter_layer,org_soil_depth,active_layer,N,C,mineral,elevation,roughness,slope,aspect,tpi,density_kgm3,SOC_kgCm2,CN,tree_stem_count,cluster_names,stembins
J1,1,C,0.053995736,0.833000004,0.102337435,0,4,34,2.03,40.66,0,84.91880798,0.070380323,0.498932987,-83.59672546,0.040267609,221.1401907,3.596624062,20.02955665,1,Moist Tundra,Low (0-35)
J1,1,B,0.159330145,1.215999961,0.273725263,0,17,43,1.88,39.49,0,84.90041351,0.083790131,1.376657605,-70.89958954,0.004073906,243.4570907,16.34400487,21.00531915,1,Moist Tundra,Low (0-35)
J1,1,A,0.096296953,1.049000025,0.181957159,0.5,10,38,1.42,39.68,0,84.92201233,0.12620002,3.036962032,27.94150734,-0.00224721,202.8809089,8.050314465,27.94366197,1,Moist Tundra,Low (0-35)
J1,2,A,0.022273662,0.423999995,0.040548774,0,7,20,1.87,42.12,0,84.27410889,0.098389968,2.239946842,69.2879715,-0.030550309,229.2554271,6.759367012,22.52406417,5,Moist Tundra,Low (0-35)
J1,2,C,0.038765458,0.995000005,0.106063173,0,2,30,1.88,38.31,0,84.26786804,0.062300339,1.531662583,-41.78593445,0.033821784,215.0537634,1.647741935,20.37765957,5,Moist Tundra,Low (0-35)
J1,2,B,0.020743435,0.519999981,0.039304684,0,4,22,2.01,38.5,0,84.27552032,0.097629927,1.880546093,-3.702074289,0.024946576,241.4282816,3.717995537,19.15422886,5,Moist Tundra,Low (0-35)
J1,3,C,0.115891776,1.327999949,0.23096089,0,36,36,1.91,42.46,0,84.1037674,0.035620499,0.691022217,-79.10879517,-0.005340376,170.4199635,26.04971394,22.23036649,8,Moist Tundra,Low (0-35)
J1,3,A,0.02116714,0.150999993,0.028993605,0,14,42,1.87,41.89,0,83.99057007,0.053090211,1.288280487,-103.5627823,-0.008287477,235.3418543,13.80185839,22.40106952,8,Moist Tundra,Low (0-35)
J1,3,B,0.104855062,1.327999949,0.23220746,0,22,29,1.89,40.23,0,84.03315735,0.112049863,1.893424749,-118.6447067,0.013401394,269.8316088,23.88171637,21.28571429,8,Moist Tundra,Low (0-35)
J1,4,A,0.060314927,0.361000001,0.061553567,0,23,23,1.61,37.74,0,84.47641754,0.115079649,2.35843277,-121.0183334,0.001502228,251.572327,21.83698113,23.44099379,5,Moist Tundra,Low (0-35)
J1,4,B,0.038265321,0.340000004,0.058723584,0,13,49,1.54,43.15,0,84.46186066,0.077520519,1.551622152,-47.61822128,-0.00988534,265.7739907,14.90859201,28.01948052,5,Moist Tundra,Low (0-35)
J1,4,C,0.053799716,0.423000008,0.062373671,0,22,38,2.16,40.13,0,84.4785614,0.115320511,2.680779457,-115.659462,-0.027595673,229.2554271,20.24004463,18.5787037,5,Moist Tundra,Low (0-35)
