Transect,drone_metric,drone_value,EVI,TCB,TCW,TCG
T10,Excess Greenness,28.12844658,4356,3119,-1234,1711
T10,Excess Greenness,30.09328651,4209,3188,-1264,1663
T10,Excess Greenness,31.54841423,4393,3150,-1233,1724
T10,Excess Greenness,51.99610519,4486,3142,-1140,1763
T10,Excess Greenness,25.81814957,4145,3174,-1314,1630
T10,Excess Greenness,33.93274689,4199,3173,-1270,1660
T10,Excess Greenness,40.139328,4500,3171,-1210,1784
T10,Excess Greenness,56.21419144,4700,3135,-1145,1875
T10,Excess Greenness,17.82502365,4033,3242,-1404,1568
T10,Excess Greenness,25.0513134,4214,3228,-1358,1660
T10,Excess Greenness,38.51496887,4361,3211,-1275,1729
T10,Excess Greenness,50.35799026,4659,3066,-1184,1858
T10,Excess Greenness,41.99907684,4672,3048,-1148,1839
T10,Excess Greenness,25.84370232,4316,3035,-1194,1638
T10,Excess Greenness,17.27180862,4113,3251,-1440,1583
T10,Excess Greenness,30.52767372,4254,3230,-1358,1675
T10,Excess Greenness,37.75590515,4470,3170,-1202,1783
T10,Excess Greenness,42.54904938,4708,3162,-1188,1888
T10,Excess Greenness,34.95799637,4455,2999,-1241,1692
T10,Excess Greenness,16.58940506,4318,3089,-1309,1647
T10,Excess Greenness,16.98921776,4021,3233,-1412,1553
T10,Excess Greenness,28.44251251,4436,3146,-1310,1722
T10,Excess Greenness,40.06888199,4518,3146,-1247,1779
T10,Excess Greenness,27.58167267,4149,2955,-1256,1532
T10,Excess Greenness,31.71064949,4386,2977,-1261,1617
T10,Excess Greenness,22.37348747,4501,3007,-1189,1675
T10,Excess Greenness,20.11069298,4182,3132,-1359,1591
T10,Excess Greenness,22.48826408,4370,3158,-1326,1688
T10,Excess Greenness,40.74403763,4582,2709,-1011,1671
T10,Excess Greenness,29.20834541,4391,2838,-1151,1618
T10,Excess Greenness,21.49411583,4307,2978,-1222,1596
T10,Excess Greenness,36.80408478,4532,3009,-1161,1770
T10,Excess Greenness,40.92260361,4252,2751,-1143,1546
T10,Excess Greenness,45.93824005,4656,2662,-951,1718
T10,Excess Greenness,38.62116623,4638,2676,-950,1686
T10,Excess Greenness,27.27167892,4403,2878,-1182,1614
T10,Excess Greenness,41.9368515,4699,2972,-1131,1794
T10,Excess Greenness,37.68881226,4293,2902,-1205,1567
T10,Excess Greenness,43.8424263,4647,2715,-966,1739
T10,Excess Greenness,39.53794098,4551,2776,-1026,1685
T9,Excess Greenness,63.66862488,4527,3196,-1176,1807
T9,Excess Greenness,56.37945938,4263,3263,-1270,1692
T9,Excess Greenness,56.711586,4060,3072,-1200,1606
T9,Excess Greenness,62.39179611,4302,3215,-1217,1708
T9,Excess Greenness,58.37205505,4355,3258,-1263,1740
T9,Excess Greenness,58.05278778,4297,3271,-1323,1707
T9,Excess Greenness,63.49045563,4118,3010,-1132,1604
T9,Excess Greenness,58.65857315,4538,3272,-1223,1830
T9,Excess Greenness,56.33784866,4422,3328,-1286,1780
T9,Excess Greenness,52.24467087,4295,3322,-1315,1711
T9,Excess Greenness,62.40132141,4744,3158,-1159,1888
T9,Excess Greenness,66.16331482,4719,3279,-1163,1907
T9,Excess Greenness,60.92254257,4639,3335,-1253,1899
T9,Excess Greenness,60.20450974,4442,3360,-1321,1794
T9,Excess Greenness,56.06782913,4328,3365,-1387,1727
T9,Excess Greenness,52.63028336,4527,3336,-1278,1764
T9,Excess Greenness,57.45353317,4562,3342,-1266,1807
